title,brand,price,list_price,discount_pct,price_currency,stars,reviews_count,breadCrumbs,description
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Silver",Apple,949.0,999.0,5.01,$,4.8,5991,,
"Apple 2025 MacBook Pro Laptop with M5 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",Apple,1449.0,1599.0,9.38,$,4.7,1217,,
"Lenovo Legion Pro 7i – AI-Powered Gaming Laptop – Intel® Core Ultra 7 255HX – 16"" WQXGA PureSight OLED Display – 240Hz – NVIDIA® GeForce RTX™ 5070 Ti – 32GB Memory – 2TB Storage – PC GamePass",Lenovo,2004.89,2149.99,6.75,$,4.3,139,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"The Lenovo Legion Pro 7i is designed for eSports masters who demand high FPS in AAA games. It’s powered by Intel® Core Ultra processors and 50 Series NVIDIA® GeForce RTX™ graphics for elite performance. Legion Coldfront: Vapor features an integrated Hyper Chamber system that combines turbo-charged fans with a 250W Vapor Chamber for peak cooling. Rear RBG vents and strategically placed side ports enhance airflow away from you to reduce noise levels for a quieter, more focused gaming experience. Lenovo AI Engine+ optimizes performance in real time while the Lenovo PureSight OLED gaming display provides fast refresh rates and low latency. Be the first to spot the enemy with DisplayHDR™ True Black 1000 which delivers deeper blacks and richer contrast for crystal-clear visuals. NVIDIA® G-SYNC support guarantees tear-free, fluid gameplay for precise movements during intense competitive gaming sessions. The Lenovo Legion Pro 7i serves as an amazing desktop replacement that can go everywhere with you so you can always play at your best."
"LG 45GX950A-B 45-inch Ultragear 5K2K WUHD (5120 x 2160) OLED Curved Gaming Monitor, Dual-Mode, 165Hz, 0.03ms, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDR True Black 400, USB Type-C 90W, DP2.1",LG,1486.99,1999.99,25.65,$,4.3,323,Electronics > Computers & Accessories > Monitors,"Unleash unparalleled gaming prowess with the world's first 5K2K WUHD (5120 x 2160) resolution OLED gaming monitor¹. This 45"" curved UltraGear monitor elevates your gameplay experience with Dual Mode technology. Dual Mode lets a player switch between breathtaking UHD visuals at up to 165Hz, or Full HD at a blistering 330Hz for ultra-responsive gameplay in FPS, MOBA, or racing titles²—all at the touch of a hotkey. Immerse yourself in up to 1300 nits brightness in UltraGear OLED brilliance, boasting up to 98.5% DCI-P3 color coverage, a staggering 1.5M:1 contrast ratio, and DisplayHDR True Black 400. The dramatic 800R curve and 21:9 aspect ratio offer more vertical screen space than a 49” 32:9 display, pulling you deeper into the action like never before. A sleek, slim design offers adjustable height, tilt, and swivel controls for your perfect view, complemented by RGB backlighting to set the mood for your battlestation. Equipped with DisplayPort 2.1, HDMI 2.1 ports, and USB Type-C with 90W power delivery, plus NVIDIA G-SYNC Compatible and AMD FreeSync Premium Pro support, you’ll enjoy smooth, tear-free gaming at high refresh rates. UltraGear's 2-year limited warranty and OLED Care tools, give you OLED gaming peace of mind as well. ¹Based on an internal audit of published specifications in the OLED gaming monitor category as of January 2025. ²Actual refresh rates may vary depending on computer graphics specifications and configurations.³Graphics card that supports DisplayPort 1.4 or HDMI 2.1 are required to achieve up to 240Hz refresh rate support. Graphics card sold separately.⁴Headphones sold separately. For DTS patents, see http://patents.dts.com. Manufactured under license from DTS, Inc. or its affiliates. DTS trademarks and logos are registered trademarks or trademarks of DTS, Inc. in the United States and other countries. ALL RIGHTS RESERVED.⁵Software installation required. Visit Support on LG.com to download.⁶LG OLED panels have be certified as Flicker-Free, Discomfort Glare Free and Low Blue Light by UL. Certificate Number: Flicker Free Display (OLED)- A196009, Discomfort Glare Free - V563481 (conditions of UGR less than 22), Low Blue Light Hardware Solution Platinum - V745051."
"acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",acer,949.99,,0.0,$,4.6,205,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Live For Victory: Elevate your gaming adventure with the Acer Nitro V 15, your gateway to an adrenaline-charged journey. This laptop is the perfect blend of power and style, pushing the boundaries of what’s possible on a laptop. Powered by an Intel Core i7-13620H processor and NVIDIA GeForce RTX 4050 laptop graphics and showcasing a crystal-clear 15.6” Full HD display with a 165Hz IPS panel - you can see why the Nitro V 15 is a knockout hit for gamers of every level. (NH.U0NAA.002)"
"msi Codex Z2 Gaming Desktop: AMD R7-8700F, GeForce RTX 5070, 32GB DDR5, 2TB m.2 NVMe SSD, USB Type-C, VR-Ready, Windows 11 Home : A8NVP-436US",msi,1888.08,,0.0,$,4.2,177,Electronics > Computers & Accessories > Computers & Tablets > Desktops > Towers,"MSI Codex Z2 Gaming Desktop: AMD R7-8700F, GeForce RTX 5070, 32GB DDR5, 2TB m.2 NVMe SSD, USB Type-C, VR-Ready, Windows 11 Home : A8NVP-436US"
"Alienware 16 Aurora Laptop AC16250-16-inch 16:10 WQXGA Display, Intel Core 7-240H Series 2, 16GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 5060 8GB GDDR7, Windows 11 Home, Onsite Service - Blue",Alienware,1278.49,1399.99,8.68,$,4.2,87,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Alienware 16 Aurora Gaming Laptop. Pure performance. No distractions. Optimized performance in a sleek design, featuring a WQXGA 300 nits display, stylish anodized aluminum lid and Intel® Core™ processors (Series 2)."
"Samsung 16” Galaxy Book5 Pro 360 Copilot+ PC, AI Computer, Intel Core 7 Ultra Processor, 3K AMOLED (2880x1800) Touchscreen, S Pen,120Hz, Dolby Atmos, Student Laptop, Lightweight, All-Day Battery Life",Samsung,1299.99,1699.99,23.53,$,4.4,286,Electronics > Computers & Accessories > Computers & Tablets > Laptops > 2 in 1 Laptops,"Fuel your creativity with a device that’s powerfully fast and powerfully smart. Built for modern makers, Galaxy Book5 Pro 360 is more than just a laptop. It’s a 2-in-1 powerhouse designed to accelerate your workflow — whether you’re jumping between editing platforms, searching online for inspiration or sketching concepts with the included S Pen. Book5 Pro 360 is built with the latest AI-powered Intel Core Ultra 7 - Series 2 chipset, which intelligently powers through every task so you can maintain focus. Stay in your flow with AI Select,⁵ which helps you quickly find answers with a simple click, circle or highlight on your touchscreen. Book5 Pro 360 doesn’t just improve your efficiency; it also helps you work comfortably. Create on the vivid 16"" AMOLED display, featuring 3K resolution and an anti- reflective coating that helps give you the clarity to see and refine every detail with ease. From editing new reels to designing creative assets and everything in between, Galaxy Book5 Pro 360 clears the way for you to effortlessly turn big ideas into executions with huge impact. ¹Based on testing of 16"" model on local, 1080p resolution video playback, default video player (full screen), 150 nit brightness, default earbud volume, Wi-Fi and mobile network off, keyboard backlight off. 14"" model is up to 21 hours. Results vary with settings, usage and other factors. ²Requires Galaxy S22 Series, Flip4 or Fold4 and later with One UI 6.1 and above. Must be logged in to the same Windows and Samsung account on both devices and have a Bluetooth and WiFi connection. Some mobile apps may have security features that prevent the mobile app from being viewed on PC. ³Quick Share between Galaxy devices available with the following OS: smartphones and tablets with Android OS version 10.0 (Q) and One UI 2.1 or above, PCs running Windows 10 or later."
"Apple 2024 MacBook Pro Laptop with M4 Pro, 14‑core CPU, 20‑core GPU: Built for Apple Intelligence, 16.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",Apple,2239.0,2499.0,10.4,$,4.7,639,,
"Microsoft Surface Laptop (2024), Windows 11 Copilot+ PC, 15"" Touchscreen Display, Snapdragon X Elite (12 core), 32GB RAM, 1TB SSD Storage, Black",Microsoft,1498.0,2099.99,28.67,$,4.2,259,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"* Some Copilot+ PCs require download of free updates to run Copilot+ PC experiences, available starting late 2024 – 2025. See aka.ms/copilotpluspcs ** Pre-release screen shown; subject to change. *** Availability of Copilot+ PC features varies by device and market. [1] Based on Cinebench 2024 Multi-threaded conducted by Microsoft in April 2024 comparing pre-release build of Surface Laptop 13.8"" and 15” with Snapdragon X Elite running pre-release Windows 11 26100 and Apple MacBook Air 13.6"" and 15” with M3 running macOS 14 Sonoma. [2] Optimized for select languages (English, Chinese (simplified), French, German, Japanese, and Spanish. Content-based and storage limitations apply. Recall is coming soon through a post-launch Windows Update. See https://aka.ms/copilotpluspcs. [3] Colors available on selected models only. Available colors, sizes, finishes, and processors may vary by store, market, and configuration. [4] Surface Laptop, excluding power supply, contains a minimum of 25% recycled content. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure for Recycled Content, UL 2809-2, Second Edition, November 7, 2023.  [5] Currently supports translation for video and audio subtitles into English from 40+ languages. See https://aka.ms/copilotpluspcs. [6] Battery life varies significantly based on device configuration, usage, network and feature configuration, signal strength, settings and other factors. See aka.ms/SurfaceBatteryPerformance for details. [7] 13.8"" Surface Laptop comes with 39 W Surface power supply. Fast charging (from 5% to 80%) is supported with minimum 65W Surface power supply or USB-C® PD charger, sold separately. Testing was conducted at Microsoft in February 2024, using pre-production devices, software, and minimum of 65W USB-C® charger under controlled conditions. The device was powered on to the desktop screen with default display brightness settings. Actual charge time will vary based on operating conditions. Measured at typical office ambient temperature of 23C.   [8] Enclosure includes A Cover, C Bucket and D Cover. 100% recycled aluminum alloy in A Cover and C Bucket. 100% recycled rare earth metals in magnets. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure (ECVP) for Recycled Content, UL 2809-2, Second Edition, November 7, 2023.  [9] Enclosure includes A Cover, C Bucket and D Cover. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure for Recycled Content, UL 2809-2, Second Edition, November 7, 2023. [10] Available colors may vary by market. [11] USB-C® port does not charge your Surface device or any device that requires more than 15W [12] Requires device with USB-C® USB4®/Thunderbolt™ 4 port and when supported by device and display. *Screens simulated; subject to change *Recall: Optimized for select languages (English, Chinese (simplified), French, German, Japanese, and Spanish.) Content-based and storage limitations apply. See [https://aka.ms/copilotpluspcs]. *Cocreator: Optimized for English text prompts See [https://aka.ms/copilotpluspcs]"
